ObsID,variable,absolute_error
sch02_tch02_04_23_18_period13-14,IsInstructionalUtterance,0.1078800058678635
sch02_tch02_04_24_18_period5-6,IsInstructionalUtterance,0.06605298439352492
sch02_tch02_04_24_18_period7-8,IsInstructionalUtterance,0.09982159643724753
sch02_tch02_04_26_18_period13-14,IsInstructionalUtterance,0.1403936690386216
sch02_tch03_04_10_18_period02,IsInstructionalUtterance,0.0731994612475636
sch02_tch03_04_10_18_period03,IsInstructionalUtterance,0.11346975202396914
sch02_tch03_04_11_18_period02,IsInstructionalUtterance,0.08358072871956901
sch02_tch03_04_11_18_period03,IsInstructionalUtterance,0.007159825621767757
sch02_tch03_04_12_18_period02,IsInstructionalUtterance,0.4013655823494082
sch02_tch03_04_12_18_period03,IsInstructionalUtterance,0.004167593661279834
sch02_tch03_04_18_18_period02,IsInstructionalUtterance,0.16898154819246058
sch02_tch03_04_18_18_period03,IsInstructionalUtterance,0.17435007996440677
sch02_tch04_04_09_18_period05,IsInstructionalUtterance,0.07498481908713206
sch02_tch04_04_09_18_period15,IsInstructionalUtterance,0.07122166571750577
sch02_tch04_04_11_18_period05,IsInstructionalUtterance,0.06510878749953675
sch02_tch04_04_11_18_period15,IsInstructionalUtterance,0.0776162477125818
sch02_tch04_04_16_18_period05,IsInstructionalUtterance,0.26968343183786025
sch02_tch04_04_16_18_period15,IsInstructionalUtterance,0.03854248858466647
sch02_tch04_04_19_18_period05,IsInstructionalUtterance,0.21023907690887844
sch02_tch04_04_19_18_period15,IsInstructionalUtterance,0.17229065241952168
sch02_tch05_04_26_18_period1,IsInstructionalUtterance,0.38531539229130607
sch02_tch05_04_26_18_period3,IsInstructionalUtterance,0.016320533965160644
sch02_tch05_04_27_18_period1,IsInstructionalUtterance,0.08028994374997722
sch02_tch05_04_27_18_period3,IsInstructionalUtterance,0.022107535717808213
sch02_tch05_04_30_18_period1,IsInstructionalUtterance,0.42624424143058004
sch02_tch05_04_30_18_period3,IsInstructionalUtterance,0.09480329903370532
sch02_tch05_05_01_18_period1,IsInstructionalUtterance,0.4674249585677054
sch02_tch05_05_01_18_period3,IsInstructionalUtterance,0.006469411361595623
